"policyConfigID","policyID","addUnlistedPatient","QA","insightActive","connectActive","validFrom","validTill"
3384,706,True,True,True,False,"2020-01-01",NULL
3385,708,True,True,True,False,"2020-01-01",NULL
3386,682,True,True,True,False,"2020-01-01",NULL
3387,617,True,True,True,False,"2020-01-01",NULL
3388,691,True,True,True,False,"2020-01-01",NULL
3390,694,True,True,True,False,"2020-01-01",NULL
3391,701,True,True,True,False,"2020-01-01",NULL
3392,703,True,True,True,False,"2020-01-01",NULL
3394,704,True,True,True,False,"2020-01-01",NULL
3396,705,True,True,True,False,"2020-01-01",NULL
3398,707,True,True,True,False,"2020-01-01",NULL
3400,711,True,True,True,False,"2020-01-01",NULL
3405,599,True,True,True,False,"2020-01-01",NULL
3437,1026,True,True,True,False,"2020-01-01",NULL
3490,253,True,True,True,False,"2020-01-01",NULL
3491,926,True,True,True,False,"2020-01-01",NULL
3493,293,True,True,True,False,"2020-01-01",NULL
3494,291,True,True,True,False,"2020-01-01",NULL
3495,292,True,True,True,False,"2020-01-01",NULL
3550,818,True,True,True,False,"2020-01-01",NULL
3551,819,True,True,True,False,"2020-01-01",NULL
3552,820,True,True,True,False,"2020-01-01",NULL
3553,850,True,True,True,False,"2020-01-01",NULL
3554,851,True,True,True,False,"2020-01-01",NULL
3555,852,True,True,True,False,"2020-01-01",NULL
3556,943,True,True,True,False,"2020-01-01",NULL
3557,944,True,True,True,False,"2020-01-01",NULL
3590,702,False,True,True,False,"2020-01-01",NULL
3599,618,False,True,True,False,"2020-01-01",NULL
3600,699,False,True,True,False,"2020-01-01",NULL
3610,715,False,True,True,False,"2020-01-01",NULL
3862,1069,False,True,True,True,"2020-02-21",NULL
3864,1093,False,True,True,True,"2020-02-21",NULL
3869,1084,False,True,True,True,"2020-02-21",NULL
3871,1083,False,True,True,True,"2020-02-21",NULL
3878,1072,False,True,True,True,"2020-02-26",NULL
3881,1086,False,True,True,True,"2020-02-26",NULL
3882,1085,False,True,True,True,"2020-02-26",NULL
3896,1315,False,True,True,True,"2020-02-29",NULL
3897,1314,False,True,True,True,"2020-02-29",NULL
3909,663,False,True,True,False,"2020-03-04",NULL
4078,1307,False,True,True,True,"2020-05-08",NULL
4079,1309,False,True,True,True,"2020-05-08",NULL
4080,1310,False,True,True,True,"2020-05-08",NULL
4183,1302,False,True,True,True,"2020-07-10",NULL
4470,1618,True,True,True,False,"2020-12-24",NULL
4479,1290,True,True,True,False,"2021-01-01",NULL
4504,1387,True,True,True,False,"2021-01-01",NULL
4535,498,True,True,True,False,"2021-01-01",NULL
4539,758,True,True,True,False,"2021-01-01",NULL
4544,823,True,True,True,False,"2021-01-01",NULL
4545,822,True,True,True,False,"2021-01-01",NULL
4547,1326,True,True,True,False,"2021-01-01",NULL
4549,952,True,True,True,False,"2021-01-01",NULL
4550,1177,True,True,True,False,"2021-01-01",NULL
4551,1187,True,True,True,False,"2021-01-01",NULL
4566,787,True,True,True,False,"2021-01-01",NULL
4587,773,True,True,True,False,"2021-01-01",NULL
4602,634,False,True,True,False,"2021-01-01",NULL
4603,918,False,True,True,False,"2021-01-01",NULL
4604,632,True,True,True,False,"2021-01-01",NULL
4605,743,True,True,True,False,"2021-01-01",NULL
4606,1025,True,True,True,False,"2021-01-01",NULL
4607,633,True,True,True,False,"2021-01-01",NULL
4610,1336,False,True,True,False,"2021-01-01",NULL
4614,1301,False,True,True,False,"2021-01-01",NULL
4615,1300,False,True,True,False,"2021-01-01",NULL
4616,1299,False,True,True,False,"2021-01-01",NULL
4617,1089,False,True,True,False,"2021-01-01",NULL
4618,1081,False,True,True,False,"2021-01-01",NULL
4619,1080,False,True,True,False,"2021-01-01",NULL
4620,1076,False,True,True,False,"2021-01-01",NULL
4621,1074,False,True,True,False,"2021-01-01",NULL
4840,1169,True,True,True,False,"2021-01-07",NULL
5192,1612,True,True,True,False,"2021-02-24",NULL
5251,1405,False,True,True,False,"2021-03-27",NULL
5296,1197,False,True,True,True,"2021-04-16",NULL
5297,1419,False,True,True,True,"2021-04-16",NULL
5298,1420,False,True,True,True,"2021-04-16",NULL
5299,1421,False,True,True,True,"2021-04-16",NULL
5300,1424,False,True,True,True,"2021-04-16",NULL
5301,1425,False,True,True,True,"2021-04-16",NULL
5302,142,True,True,False,False,"2021-04-16",NULL
5316,589,True,True,True,False,"2021-05-13",NULL
5355,1624,True,True,True,False,"2021-09-02",NULL
5382,1644,False,True,True,False,"2021-09-18",NULL
5491,1713,True,True,True,False,"2021-12-21",NULL
5492,1296,True,True,True,False,"2022-01-01",NULL
5493,1297,True,True,True,False,"2022-01-01",NULL
5494,1291,True,True,True,False,"2022-01-01",NULL
5495,1292,True,True,True,False,"2022-01-01",NULL
5496,1293,True,True,True,False,"2022-01-01",NULL
5497,1294,True,True,True,False,"2022-01-01",NULL
5498,1295,True,True,True,False,"2022-01-01",NULL
5499,1432,True,True,True,False,"2022-01-01",NULL
5500,1433,True,True,True,False,"2022-01-01",NULL
5501,1460,True,True,True,False,"2022-01-01",NULL
5502,1603,True,True,True,False,"2022-01-01",NULL
5503,1480,True,True,True,False,"2022-01-01",NULL
5504,1178,True,True,True,False,"2022-01-01",NULL
5505,848,True,True,True,False,"2022-01-01",NULL
5506,949,True,True,True,False,"2022-01-01",NULL
5507,847,True,True,True,False,"2022-01-01",NULL
5508,1188,True,True,True,False,"2022-01-01",NULL
5509,1189,True,True,True,False,"2022-01-01",NULL
5515,913,False,True,True,False,"2022-01-01",NULL
5517,435,True,True,True,False,"2022-01-01",NULL
5518,1174,True,True,True,False,"2022-01-01",NULL
5519,1024,True,True,True,False,"2022-01-01",NULL
5520,1023,True,True,True,False,"2022-01-01",NULL
5559,1105,True,True,True,False,"2022-01-01",NULL
5593,1246,True,True,True,False,"2022-01-01",NULL
5656,860,True,True,True,False,"2022-01-01",NULL
5657,863,True,True,True,False,"2022-01-01",NULL
5658,857,True,True,True,False,"2022-01-01",NULL
5662,861,True,True,True,False,"2022-01-01",NULL
5667,858,True,True,True,False,"2022-01-01",NULL
5669,856,True,True,True,False,"2022-01-01",NULL
5670,859,True,True,True,False,"2022-01-01",NULL
5671,854,True,True,True,False,"2022-01-01",NULL
5672,855,True,True,True,False,"2022-01-01",NULL
5688,735,True,True,True,False,"2022-01-01",NULL
5689,737,True,True,True,False,"2022-01-01",NULL
5690,736,True,True,True,False,"2022-01-01",NULL
